LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00727nas a2200241uu 4500,, Battle of the Monkey and the Crab  [electronic resource] /  Anonymous," Project Gutenberg,  2008", Public domain in the USA., Text, Folklore -- Japan, Fairy tales -- Japan,,,, Project Gutenberg  25021, http://www.gutenberg.org/ebooks/25021
00817nas a2200241uu 4500," Collins, Daniel"," Narrative of the shipwreck of the brig Betsey, of Wiscasset, Maine, and murder of five of her crew, by pirates, :   on the coast of Cuba, Dec. 1824.  [electronic resource] /  Daniel Collins"," Project Gutenberg,  2008", Public domain in the USA., Text, Caribbean Area -- History, Shipwrecks, Pirates,,, Project Gutenberg  25022, http://www.gutenberg.org/ebooks/25022
00713nas a2200229uu 4500," Seton, Ernest Thompson,  1860-1946", The Biography of a Grizzly  [electronic resource] /  Ernest Thompson Seton," Project Gutenberg,  2008", Public domain in the USA., Text, Grizzly bear -- Juvenile fiction,,,,, Project Gutenberg  25023, http://www.gutenberg.org/ebooks/25023
00684nas a2200229uu 4500," Leiber, Fritz,  1910-1992", The Night of the Long Knives  [electronic resource] /  Fritz Leiber," Project Gutenberg,  2008", Public domain in the USA., Text, Dystopias -- Fiction," Science fiction, American",,,, Project Gutenberg  25024, http://www.gutenberg.org/ebooks/25024
00677nas a2200229uu 4500," Price, Hattie Longstreet,  1872-1968", The Story of Silk  [electronic resource] /  Hattie Longstreet Price," Project Gutenberg,  2008", Public domain in the USA., Text, Silk -- Juvenile literature,,,,, Project Gutenberg  25025, http://www.gutenberg.org/ebooks/25025
00760nas a2200241uu 4500," Marshall, Emma,  1830-1899", Bristol Bells :  A Story of the Eighteenth Century  [electronic resource] /  Emma Marshall," Project Gutenberg,  2008", Public domain in the USA., Text," Chatterton, Thomas, 1752-1770 -- Fiction", Biographical fiction, Poets -- Fiction,,, Project Gutenberg  25026, http://www.gutenberg.org/ebooks/25026
00660nas a2200217uu 4500,, Peter Piper's Practical Principles of Plain and Perfect Pronunciation  [electronic resource] /  Anonymous," Project Gutenberg,  2008", Public domain in the USA., Text, Tongue twisters, Alphabet books,,,, Project Gutenberg  25027, http://www.gutenberg.org/ebooks/25027
00756nas a2200253uu 4500," Garrett, Randall,  1927-1987", Heist Job on Thizar  [electronic resource] /  Randall Garrett," Project Gutenberg,  2008", Public domain in the USA., Text, Short stories, Jewelry theft -- Fiction," Science fiction, American", Criminals -- Fiction,, Project Gutenberg  25028, http://www.gutenberg.org/ebooks/25028
00716nas a2200241uu 4500," Stebbing, W.  (William),  1832-1926", Sir Walter Ralegh :  A Biography  [electronic resource] /  W. Stebbing," Project Gutenberg,  2008", Public domain in the USA., Text," Raleigh, Walter, Sir, 1552?-1618", Biography,,,, Project Gutenberg  25029, http://www.gutenberg.org/ebooks/25029
00711nas a2200217uu 4500,," Lippincott's Magazine of Popular Literature and Science, Vol. 22, November, 1878  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Science -- Periodicals," Literature, Modern -- 19th century -- Periodicals",,,, Project Gutenberg  25030, http://www.gutenberg.org/ebooks/25030
00707nas a2200217uu 4500," Bensell, Edmund Birckhead,  1842-1920", Davy and The Goblin :   What Followed Reading 'Alice's Adventures in Wonderland'  [electronic resource] /  Edmund Birckhead Bensell," Project Gutenberg,  2008", Public domain in the USA., Text, Fantasy,,,,, Project Gutenberg  25031, http://www.gutenberg.org/ebooks/25031
00879nas a2200265uu 4500," Kingston, William Henry Giles,  1814-1880", A Yacht Voyage Round England  [electronic resource] /  William Henry Giles Kingston," Project Gutenberg,  2008", Public domain in the USA., Text, Sailors -- Juvenile fiction, Brothers -- Juvenile fiction, Yachts -- Juvenile fiction, Fathers and sons -- Juvenile fiction, Christian life -- Juvenile fiction, Project Gutenberg  25032, http://www.gutenberg.org/ebooks/25032
00773nas a2200229uu 4500,, Report of the Chief Librarian for the Year 1924-25  [electronic resource] /  New Zealand. General Assembly Library," Project Gutenberg,  2008", Public domain in the USA., Text, General Assembly Library -- Periodicals, Libraries -- New Zealand -- Periodicals,,,, Project Gutenberg  25033, http://www.gutenberg.org/ebooks/25033
00766nas a2200229uu 4500," Wilson, J. O.", Report of the Chief Librarian for the Year Ended 31 March 1958 :  Special Centennial Issue  [electronic resource] /  J. O. Wilson," Project Gutenberg,  2008", Public domain in the USA., Text, General Assembly Library -- Periodicals, Libraries -- New Zealand -- Periodicals,,,, Project Gutenberg  25034, http://www.gutenberg.org/ebooks/25034
00676nas a2200229uu 4500," Silverberg, Robert,  1935-", The Happy Unfortunate  [electronic resource] /  Robert Silverberg," Project Gutenberg,  2008", Public domain in the USA., Text, Short stories," Science fiction, American",,,, Project Gutenberg  25035, http://www.gutenberg.org/ebooks/25035
00622nas a2200217uu 4500," Sagard, Gabriel", L'histoire du Canada  [electronic resource] /  Gabriel Sagard," Project Gutenberg,  2008", Public domain in the USA., Text, Canada -- History,,,,, Project Gutenberg  25036, http://www.gutenberg.org/ebooks/25036
00766nas a2200253uu 4500," Hopkins, R. Thurston  (Robert Thurston),  1884-1958", War and the Weird  [electronic resource] /  R. Thurston Hopkins," Project Gutenberg,  2008", Public domain in the USA., Text," World War, 1914-1918 -- Fiction"," World War, 1914-1918", Supernatural,,, Project Gutenberg  25037, http://www.gutenberg.org/ebooks/25037
