LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00645nas a2200217uu 4500," Carcano, Giulio,  1812-1884", Damiano :  Storia di una povera famiglia  [electronic resource] /  Giulio Carcano," Project Gutenberg,  2008", Public domain in the USA., Text, Fiction,,,,, Project Gutenberg  25178, http://www.gutenberg.org/ebooks/25178
00632nas a2200217uu 4500," Bersezio, Vittorio,  1830-1900", La carità del prossimo  [electronic resource] /  Vittorio Bersezio," Project Gutenberg,  2008", Public domain in the USA., Text, Fiction,,,,, Project Gutenberg  25179, http://www.gutenberg.org/ebooks/25179
00598nas a2200205uu 4500," Salgari, Emilio,  1862-1911", La favorita del Mahdi  [electronic resource] /  Emilio Salgari," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25180, http://www.gutenberg.org/ebooks/25180
00665nas a2200217uu 4500," Barrili, Anton Giulio,  1836-1908", Castel Gavone :  Storia del secolo XV  [electronic resource] /  Anton Giulio Barrili," Project Gutenberg,  2008", Public domain in the USA., Text, Historical fiction,,,,, Project Gutenberg  25181, http://www.gutenberg.org/ebooks/25181
00920nas a2200217uu 4500," De Roberto, Federico,  1861-1927", Documenti Umani  [electronic resource] /  Federico De Roberto," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25182, http://www.gutenberg.org/ebooks/25182
00634nas a2200217uu 4500," Porta, Giambattista della,  -1615", L'Olimpia  [electronic resource] /  Giambattista della Porta," Project Gutenberg,  2008", Public domain in the USA., Text, Italian drama,,,,, Project Gutenberg  25183, http://www.gutenberg.org/ebooks/25183
00709nas a2200217uu 4500," McAllister, A.  (Alvan),  1780-1852", A Dissertation on the Medical Properties and Injurious Effects of the Habitual Use of Tobacco  [electronic resource] /  A. McAllister," Project Gutenberg,  2008", Public domain in the USA., Text, Tobacco use,,,,, Project Gutenberg  25184, http://www.gutenberg.org/ebooks/25184
00635nas a2200217uu 4500," Quinby, M.  (Moses),  1810-1875", Mysteries of Bee-keeping Explained  [electronic resource] /  M. Quinby," Project Gutenberg,  2008", Public domain in the USA., Text, Bees,,,,, Project Gutenberg  25185, http://www.gutenberg.org/ebooks/25185
00734nas a2200217uu 4500," Altsheler, Joseph A.  (Joseph Alexander),  1862-1919", The Border Watch :  A Story of the Great Chief's Last Stand  [electronic resource] /  Joseph A. Altsheler," Project Gutenberg,  2008", Public domain in the USA., Text, Frontier and pioneer life -- Juvenile fiction,,,,, Project Gutenberg  25186, http://www.gutenberg.org/ebooks/25186
00667nas a2200229uu 4500," Wei, Zi'an,  1819-1874", ???  [electronic resource] /  Zi'an Wei," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Qing dynasty, 1644-1912",,,,, Project Gutenberg  25187, http://www.gutenberg.org/ebooks/25187
00689nas a2200229uu 4500," Greene, Homer,  1853-1940", The Flag  [electronic resource] /  Homer Greene," Project Gutenberg,  2008", Public domain in the USA., Text," World War, 1914-1918 -- Juvenile fiction", Patriotism -- Juvenile fiction,,,, Project Gutenberg  25188, http://www.gutenberg.org/ebooks/25188
00644nas a2200205uu 4500,," The Idler Magazine, Volume III, June 1893 :   An Illustrated Monthly  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, London (England) -- Periodicals,,,,, Project Gutenberg  25189, http://www.gutenberg.org/ebooks/25189
00645nas a2200229uu 4500," Roberts, Morley,  1857-1942", A Tramp's Notebook  [electronic resource] /  Morley Roberts," Project Gutenberg,  2008", Public domain in the USA., Text, Essays, Travel,,,, Project Gutenberg  25190, http://www.gutenberg.org/ebooks/25190
00777nas a2200217uu 4500,," The Continental Monthly, Vol 3 No 3, March 1863 :   Devoted To Literature And National Policy  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, United States -- Politics and government -- 19th century -- Periodicals," Literature, Modern -- 19th century -- Periodicals",,,, Project Gutenberg  25191, http://www.gutenberg.org/ebooks/25191
00695nas a2200241uu 4500," Shen, Fu,  1763-", ????  [electronic resource] /  Fu Shen," Project Gutenberg,  2008", Public domain in the USA., Text," Shen, Fu, 1763-ca. 1808"," Authors, Chinese -- Biography",,,, Project Gutenberg  25192, http://www.gutenberg.org/ebooks/25192
00671nas a2200217uu 4500,," Blackwood's Edinburgh Magazine - Volume 54, No. 338, December 1843  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Scotland -- Periodicals, England -- Periodicals,,,, Project Gutenberg  25193, http://www.gutenberg.org/ebooks/25193
00649nas a2200229uu 4500," Nalan, Xingde,  1655-1685", ????  [electronic resource] /  Xingde Nalan," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25194, http://www.gutenberg.org/ebooks/25194
00698nas a2200241uu 4500," Wu, Yitang,  19th cent.", ???  [electronic resource] /  Yitang Wu," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Qing dynasty, 1644-1912",,,,, Project Gutenberg  25195, http://www.gutenberg.org/ebooks/25195
00633nas a2200217uu 4500,, ???  [electronic resource] /  Anonymous," Project Gutenberg,  2008", Public domain in the USA., Text," Names, Personal -- Chinese",,,,, Project Gutenberg  25196, http://www.gutenberg.org/ebooks/25196
00827nas a2200229uu 4500," Pozzi, Ernesto,  1843-1904"," Mentana e il dito di Dio :   Episodi narrati dal superstite Ettore Pozzi - Seconda edizione, con importanti aggiunte fatte dall'Autore  [electronic resource] /  Ernesto Pozzi"," Project Gutenberg,  2008", Public domain in the USA., Text," Mentana, Battle of, Mentana, Italy, 1867", Papal States -- History -- 1815-1870,,,, Project Gutenberg  25197, http://www.gutenberg.org/ebooks/25197
00634nas a2200217uu 4500," Porta, Giambattista della,  -1615", La Cintia  [electronic resource] /  Giambattista della Porta," Project Gutenberg,  2008", Public domain in the USA., Text, Italian drama,,,,, Project Gutenberg  25198, http://www.gutenberg.org/ebooks/25198
00643nas a2200217uu 4500," Garibaldi, Giuseppe,  1807-1882", Cantoni il volontario  [electronic resource] /  Giuseppe Garibaldi," Project Gutenberg,  2008", Public domain in the USA., Text, Historical fiction,,,,, Project Gutenberg  25199, http://www.gutenberg.org/ebooks/25199
00637nas a2200205uu 4500,," Chambers's Edinburgh Journal, Volume 17, Index :   New Series, January-June 1852.  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Periodicals,,,,, Project Gutenberg  25200, http://www.gutenberg.org/ebooks/25200
00694nas a2200229uu 4500," Leslie, Madeline,  1815-1893", The Lost Kitty  [electronic resource] /  Madeline Leslie," Project Gutenberg,  2008", Public domain in the USA., Text, Christian life -- Juvenile fiction, Gratitude -- Juvenile fiction,,,, Project Gutenberg  25201, http://www.gutenberg.org/ebooks/25201
00633nas a2200217uu 4500," Langhuanshanqiao,  18th/19th cent.", ????  [electronic resource] /  Langhuanshanqiao," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25202, http://www.gutenberg.org/ebooks/25202
00976nas a2200289uu 4500," Reid, Mayne,  1818-1883", The Land of Fire :  A Tale of Adventure  [electronic resource] /  Mayne Reid," Project Gutenberg,  2008", Public domain in the USA., Text, Seafaring life -- Juvenile fiction, Castaways -- Juvenile fiction, Shipwrecks -- Juvenile fiction, Fuegians -- Juvenile fiction, Tierra del Fuego (Argentina and Chile) -- Juvenile fiction, Project Gutenberg  25203, http://www.gutenberg.org/ebooks/25203
00582nas a2200205uu 4500," Huber, Ernst,  1895-1960", Der Mörder  [electronic resource] /  Ernst Huber," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25204, http://www.gutenberg.org/ebooks/25204
00681nas a2200229uu 4500," Bixler, William Allen,  1876-1961", Light On the Child's Path  [electronic resource] /  William Allen Bixler," Project Gutenberg,  2008", Public domain in the USA., Text, Readers," Bible stories, English",,,, Project Gutenberg  25205, http://www.gutenberg.org/ebooks/25205
00695nas a2200229uu 4500," Abbott, Jacob,  1803-1879", Rollo's Philosophy. [Air]  [electronic resource] /  Jacob Abbott," Project Gutenberg,  2008", Public domain in the USA., Text, Air -- Juvenile literature, Atmosphere -- Juvenile literature,,,, Project Gutenberg  25206, http://www.gutenberg.org/ebooks/25206
00667nas a2200217uu 4500,," Blackwood's Edinburgh Magazine, Volume 57, No. 356, June, 1845  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Scotland -- Periodicals, England -- Periodicals,,,, Project Gutenberg  25207, http://www.gutenberg.org/ebooks/25207
00675nas a2200217uu 4500,," Blackwood's Edinburgh Magazine, Volume 56, Number 347, September, 1844  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, Scotland -- Periodicals, England -- Periodicals,,,, Project Gutenberg  25208, http://www.gutenberg.org/ebooks/25208
00576nas a2200193uu 4500," Bianchi, Arturo,  1856-1939", I ladri della pace  [electronic resource] /  Arturo Bianchi," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25209, http://www.gutenberg.org/ebooks/25209
00636nas a2200217uu 4500," Marinetti, F. T.,  1876-1944", Distruzione :  Poema Futurista  [electronic resource] /  F. T. Marinetti," Project Gutenberg,  2008", Public domain in the USA., Text, Poetry,,,,, Project Gutenberg  25210, http://www.gutenberg.org/ebooks/25210
00757nas a2200229uu 4500," Marinetti, F. T.,  1876-1944"," Il processo e l'assoluzione di ""Mafarka il Futurista""  [electronic resource] /  F. T. Marinetti"," Project Gutenberg,  2008", Public domain in the USA., Text," Marinetti, Filippo Tommaso, 1876-1944. Mafarka le futuriste", Futurism (Literary movement),,,, Project Gutenberg  25211, http://www.gutenberg.org/ebooks/25211
00884nas a2200241uu 4500," Williams, Wadham Pigott,  1821-", A Glossary of Provincial Words and Phrases in use in Somersetshire  [electronic resource] /  Wadham Pigott Williams," Project Gutenberg,  2008", Public domain in the USA., Text, English language -- Provincialisms -- England -- Somerset, English language -- Dialects -- England -- Somerset,,,, Project Gutenberg  25212, http://www.gutenberg.org/ebooks/25212
00812nas a2200229uu 4500," Mathews, W. S. B.  (William Smythe Babcock),  1837-1912"," The Masters and their Music :   A series of illustrative programs with biographical, esthetical, and critical annotations  [electronic resource] /  W. S. B. Mathews"," Project Gutenberg,  2008", Public domain in the USA., Text, Composers -- Biography, Music appreciation,,,, Project Gutenberg  25213, http://www.gutenberg.org/ebooks/25213
00652nas a2200229uu 4500," Wang, Shizhen,  1634-1711", ???  [electronic resource] /  Shizhen Wang," Project Gutenberg,  2008", Public domain in the USA., Text, Swordsmen -- China,,,,, Project Gutenberg  25214, http://www.gutenberg.org/ebooks/25214
00891nas a2200253uu 4500," Glyn, Elinor,  1864-1943", Three Things  [electronic resource] /  Elinor Glyn," Project Gutenberg,  2008", Public domain in the USA., Text, Conduct of life, Family, Marriage,,, Project Gutenberg  25215, http://www.gutenberg.org/ebooks/25215
00677nas a2200205uu 4500,," The Atlantic Monthly, Volume 18, No. 108, October, 1866 :   A Magazine of Literature, Science, Art, and Politics  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, American periodicals,,,,, Project Gutenberg  25216, http://www.gutenberg.org/ebooks/25216
00601nas a2200217uu 4500," Chen, Chen", ????  [electronic resource] /  Chen Chen," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25217, http://www.gutenberg.org/ebooks/25217
00644nas a2200229uu 4500," Ouyang, Xiu,  1007-1072", ???  [electronic resource] /  Xiu Ouyang," Project Gutenberg,  2008", Public domain in the USA., Text, Ci (Chinese poetry),,,,, Project Gutenberg  25218, http://www.gutenberg.org/ebooks/25218
00667nas a2200229uu 4500," Wei, Zi'an,  1819-1874", ???  [electronic resource] /  Zi'an Wei," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Qing dynasty, 1644-1912",,,,, Project Gutenberg  25219, http://www.gutenberg.org/ebooks/25219
00755nas a2200229uu 4500," Taggart, Ralph C."," Transactions of the American Society of Civil Engineers, vol. LXX, Dec. 1910 :   Expansion of Pipes, Paper No. 1167  [electronic resource] /  Ralph C. Taggart"," Project Gutenberg,  2008", Public domain in the USA., Text, Steam-pipes, Strains and stresses,,,, Project Gutenberg  25220, http://www.gutenberg.org/ebooks/25220
00748nas a2200217uu 4500," Moule, H. C. G.  (Handley Carr Glyn),  1841-1920", Philippian Studies :   Lessons in Faith and Love from St. Paul's Epistle to the Philippians  [electronic resource] /  H. C. G. Moule," Project Gutenberg,  2008", Public domain in the USA., Text, Bible. Philippians -- Commentaries,,,,, Project Gutenberg  25221, http://www.gutenberg.org/ebooks/25221
00833nas a2200241uu 4500," Griffith, John Howell,  1868-"," Transactions of the American Society of Civil Engineers, vol. LXX, Dec. 1910 :   The Ultimate Load on Pile Foundations  [electronic resource] /  John Howell Griffith"," Project Gutenberg,  2008", Public domain in the USA., Text, Civil engineering -- Periodicals, Piling (Civil engineering), Foundations,,, Project Gutenberg  25222, http://www.gutenberg.org/ebooks/25222
00662nas a2200229uu 4500," Shao, Binru", ????  [electronic resource] /  Binru Shao," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Qing dynasty, 1644-1912",,,,, Project Gutenberg  25223, http://www.gutenberg.org/ebooks/25223
00671nas a2200217uu 4500," Boudreaux, F. J.,  1821-1894", The Happiness of Heaven :   By a Father of the Society of Jesus  [electronic resource] /  F. J. Boudreaux," Project Gutenberg,  2008", Public domain in the USA., Text, Heaven,,,,, Project Gutenberg  25224, http://www.gutenberg.org/ebooks/25224
00676nas a2200229uu 4500," Wu, Dazhi, active 1678-1695"," ????  [electronic resource] /  Dazhi, active 1678-1695 Wu"," Project Gutenberg,  2008", Public domain in the USA., Text, Chinese prose literature,,,,, Project Gutenberg  25225, http://www.gutenberg.org/ebooks/25225
00683nas a2200241uu 4500, Quyuan, ????  [electronic resource] /  Quyuan," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Qing dynasty, 1644-1912",,,,, Project Gutenberg  25226, http://www.gutenberg.org/ebooks/25226
00667nas a2200217uu 4500," Hermite, Charles,  1822-1901", Sur quelques applications des fonctions elliptiques  [electronic resource] /  Charles Hermite," Project Gutenberg,  2008", Public domain in the USA., Text, Elliptic functions,,,,, Project Gutenberg  25227, http://www.gutenberg.org/ebooks/25227
00671nas a2200229uu 4500," Liu, Yong, jin shi 1034,  1857-1931"," ???  [electronic resource] /  Yong, jin shi 1034 Liu"," Project Gutenberg,  2008", Public domain in the USA., Text, Ci (Chinese poetry),,,,, Project Gutenberg  25228, http://www.gutenberg.org/ebooks/25228
00681nas a2200229uu 4500," Wu, Xuan,  18th cent.", ????  [electronic resource] /  Xuan Wu," Project Gutenberg,  2008", Public domain in the USA., Text," Song Taizu, Emperor of China, 927-976 -- Fiction",,,,, Project Gutenberg  25229, http://www.gutenberg.org/ebooks/25229
00737nas a2200241uu 4500," Allan, Luke,  -1962", The Return of Blue Pete  [electronic resource] /  Luke Allan," Project Gutenberg,  2008", Public domain in the USA., Text, Royal Canadian Mounted Police -- Fiction, Indians of North America -- Fiction, Canada -- Fiction,,, Project Gutenberg  25230, http://www.gutenberg.org/ebooks/25230
00653nas a2200229uu 4500," Zhang, Zhuo", ???  [electronic resource] /  Zhuo Zhang," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Tang dynasty, 618-907",,,,, Project Gutenberg  25231, http://www.gutenberg.org/ebooks/25231
00791nas a2200217uu 4500," Hunt, William,  1842-1931", The Political History of England - Vol. X. :   The History of England from the Accession of George III to the close of Pitt's first Administration  [electronic resource] /  William Hunt," Project Gutenberg,  2008", Public domain in the USA., Text," Great Britain -- History -- George III, 1760-1820",,,,, Project Gutenberg  25232, http://www.gutenberg.org/ebooks/25232
00628nas a2200193uu 4500," Berndtson, Fredrik,  1820-1881", Elämän taistelusta :   Näytelmä viidessä näytöksessä  [electronic resource] /  Fredrik Berndtson," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25233, http://www.gutenberg.org/ebooks/25233
00628nas a2200217uu 4500," Garrett, Randall,  1927-1987", Cum Grano Salis  [electronic resource] /  Randall Garrett," Project Gutenberg,  2008", Public domain in the USA., Text, Science fiction,,,,, Project Gutenberg  25234, http://www.gutenberg.org/ebooks/25234
00873nas a2200241uu 4500,," A Dialogue Between Dean Swift and Tho. Prior, Esq. :   In the Isles of St. Patrick's Church, Dublin, On that Memorable Day, October 9th, 1753  [electronic resource] /  Anonymous"," Project Gutenberg,  2008", Public domain in the USA., Text, Ireland -- History -- 18th century, Ireland -- Politics and government -- 18th century, Ireland -- Social conditions -- 18th century,,, Project Gutenberg  25235, http://www.gutenberg.org/ebooks/25235
00757nas a2200241uu 4500," Huangbo,  -850", ?????????????  [electronic resource] /  Huangbo," Project Gutenberg,  2008", Public domain in the USA., Text, Zen Buddhism,,,,, Project Gutenberg  25236, http://www.gutenberg.org/ebooks/25236
00688nas a2200229uu 4500," Wuseshizhuren, ju ren 1738", ???  [electronic resource] /  ju ren 1738 Wuseshizhuren," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Qing dynasty, 1644-1912",,,,, Project Gutenberg  25237, http://www.gutenberg.org/ebooks/25237
00718nas a2200229uu 4500," Barata, António Francisco,  1836-1910", A batalha de Toro  [electronic resource] /  António Francisco Barata," Project Gutenberg,  2008", Public domain in the USA., Text," Toro, Battle of, 1476"," Portugal -- History -- Alfonso V, 1438-1481",,,, Project Gutenberg  25238, http://www.gutenberg.org/ebooks/25238
00765nas a2200229uu 4500," Azevedo, Maximiliano de,  1850-1911", Homenagem ao Marquez De Pombal 1782-1882  [electronic resource] /  Maximiliano de Azevedo," Project Gutenberg,  2008", Public domain in the USA., Text, Portuguese poetry," Pombal, Sebastião José de Carvalho e Melo, Marquês de, 1699-1782 -- Poetry",,,, Project Gutenberg  25239, http://www.gutenberg.org/ebooks/25239
00748nas a2200217uu 4500," Braga, Teófilo,  1843-1924", As theocracias litterarias :   Relance sobre o estado actual da litteratura portugueza  [electronic resource] /  Teófilo Braga," Project Gutenberg,  2008", Public domain in the USA., Text, Portuguese literature -- 19th century -- History and criticism,,,,, Project Gutenberg  25240, http://www.gutenberg.org/ebooks/25240
00654nas a2200217uu 4500," Mascarenhas, Miguel J. T.", Surpreza :   Entre-acto original  [electronic resource] /  Miguel J. T. Mascarenhas," Project Gutenberg,  2008", Public domain in the USA., Text, Portuguese drama,,,,, Project Gutenberg  25241, http://www.gutenberg.org/ebooks/25241
00592nas a2200217uu 4500," Lu, Xun,  1881-1936", ??  [electronic resource] /  Xun Lu," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25242, http://www.gutenberg.org/ebooks/25242
00736nas a2200253uu 4500," Wugenzi, active 1573", ???  [electronic resource] /  active 1573 Wugenzi," Project Gutenberg,  2008", Public domain in the USA., Text, China -- Social life and customs," Folk drama, Chinese", Folklore -- China,,, Project Gutenberg  25243, http://www.gutenberg.org/ebooks/25243
00653nas a2200217uu 4500," Sykes, Frederick Hugh,  Sir,  1877-1954"," Aviation in Peace and War  [electronic resource] /  Frederick Hugh, Sykes"," Project Gutenberg,  2008", Public domain in the USA., Text, Aeronautics,,,,, Project Gutenberg  25244, http://www.gutenberg.org/ebooks/25244
00685nas a2200241uu 4500," Yuan, Mei,  1716-1798", ???  [electronic resource] /  Mei Yuan," Project Gutenberg,  2008", Public domain in the USA., Text," Fantasy fiction, Chinese"," Ghost stories, Chinese",,,, Project Gutenberg  25245, http://www.gutenberg.org/ebooks/25245
00633nas a2200229uu 4500," Gao, Ming,  1558-1359", ???  [electronic resource] /  Ming Gao," Project Gutenberg,  2008", Public domain in the USA., Text, Chinese drama,,,,, Project Gutenberg  25246, http://www.gutenberg.org/ebooks/25246
00677nas a2200229uu 4500," Li, Shangyin,  813-858", ?????  [electronic resource] /  Shangyin Li," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese poetry -- Tang dynasty, 618-907",,,,, Project Gutenberg  25247, http://www.gutenberg.org/ebooks/25247
00664nas a2200229uu 4500," Luo, Guanzhong", ???  [electronic resource] /  Guanzhong Luo," Project Gutenberg,  2008", Public domain in the USA., Text," Chinese fiction -- Ming dynasty, 1368-1644",,,,, Project Gutenberg  25248, http://www.gutenberg.org/ebooks/25248
00658nas a2200229uu 4500," Zhu, Xi,  1130-1200", ???  [electronic resource] /  Xi Zhu," Project Gutenberg,  2008", Public domain in the USA., Text," Philosophy, Chinese -- Early works to 1800",,,,, Project Gutenberg  25249, http://www.gutenberg.org/ebooks/25249
00609nas a2200217uu 4500," Li, Yu,  1611-", ?????  [electronic resource] /  Yu Li," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25250, http://www.gutenberg.org/ebooks/25250
00597nas a2200217uu 4500, Xingshijushi, ???  [electronic resource] /  Xingshijushi," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25251, http://www.gutenberg.org/ebooks/25251
00775nas a2200253uu 4500," Wu, Jing,  670-749", ????  [electronic resource] /  Jing Wu," Project Gutenberg,  2008", Public domain in the USA., Text, China -- Politics and government -- 581-907," Tang Taizong, Emperor of China, 597-649", Political ethics -- China,,, Project Gutenberg  25252, http://www.gutenberg.org/ebooks/25252
00687nas a2200229uu 4500," Su, E, jin shi 886"," ????  [electronic resource] /  E, jin shi 886 Su"," Project Gutenberg,  2008", Public domain in the USA., Text," China -- History -- Tang dynasty, 618-907 -- Anecdotes",,,,, Project Gutenberg  25253, http://www.gutenberg.org/ebooks/25253
00618nas a2200217uu 4500," Hussain, Ahmed,  Sir,  1863-"," Notes on Islam  [electronic resource] /  Ahmed, Hussain"," Project Gutenberg,  2008", Public domain in the USA., Text, Islam,,,,, Project Gutenberg  25254, http://www.gutenberg.org/ebooks/25254
00928nas a2200241uu 4500," Cieza de León, Pedro de,  1518-1554"," Segunda parte de la crónica del Perú, que trata del señorio de los Incas Yupanquis y de sus grandes hechos y gobernacion  [electronic resource] /  Pedro de Cieza de León"," Project Gutenberg,  2008", Public domain in the USA., Text," Peru -- History -- Conquest, 1522-1548", Peru -- Description and travel -- Early works to 1800, Indians of South America -- Peru -- Social life and customs,,, Project Gutenberg  25255, http://www.gutenberg.org/ebooks/25255
00714nas a2200229uu 4500," Roby, John,  1793-1850"," Traditions of Lancashire, Volume 2  [electronic resource] /  John Roby"," Project Gutenberg,  2008", Public domain in the USA., Text, English literature -- England -- Lancashire, Legends -- England -- Lancashire,,,, Project Gutenberg  25256, http://www.gutenberg.org/ebooks/25256
00662nas a2200217uu 4500," Mendell, M."," Op den Tarn :   De Aarde en haar Volken, 1909  [electronic resource] /  M. Mendell"," Project Gutenberg,  2008", Public domain in the USA., Text, Tarn (France) -- Description and travel,,,,, Project Gutenberg  25257, http://www.gutenberg.org/ebooks/25257
00702nas a2200217uu 4500," Kann, Réginald,  1876-1925"," Formosa, de eerste kolonie van Japan :   De Aarde en haar Volken, 1909  [electronic resource] /  Réginald Kann"," Project Gutenberg,  2008", Public domain in the USA., Text, Taiwan -- Description and travel,,,,, Project Gutenberg  25258, http://www.gutenberg.org/ebooks/25258
00628nas a2200229uu 4500," Mu, Shiying", ??  [electronic resource] /  Shiying Mu," Project Gutenberg,  2008", Public domain in the USA., Text," Short stories, Chinese",,,,, Project Gutenberg  25259, http://www.gutenberg.org/ebooks/25259
00634nas a2200229uu 4500," Ye, Zi,  1910-1939", ??  [electronic resource] /  Zi Ye," Project Gutenberg,  2008", Public domain in the USA., Text," Short stories, Chinese",,,,, Project Gutenberg  25260, http://www.gutenberg.org/ebooks/25260
00730nas a2200217uu 4500," Green, John Richard,  1837-1883"," History of the English People, Volume VII :   The Revolution, 1683-1760; Modern England, 1760-1767  [electronic resource] /  John Richard Green"," Project Gutenberg,  2008", Public domain in the USA., Text, Great Britain -- History,,,,, Project Gutenberg  25261, http://www.gutenberg.org/ebooks/25261
00637nas a2200229uu 4500," Gu, Yanwu,  1613-1682", ???  [electronic resource] /  Yanwu Gu," Project Gutenberg,  2008", Public domain in the USA., Text, China -- History,,,,, Project Gutenberg  25262, http://www.gutenberg.org/ebooks/25262
00596nas a2200217uu 4500," Zhou, Gong,  --1105", ??  [electronic resource] /  Gong Zhou," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25263, http://www.gutenberg.org/ebooks/25263
00681nas a2200217uu 4500," Fretwell, John", Newfoundland and the Jingoes :  An Appeal to England's Honor  [electronic resource] /  John Fretwell," Project Gutenberg,  2008", Public domain in the USA., Text, Newfoundland and Labrador -- History,,,,, Project Gutenberg  25264, http://www.gutenberg.org/ebooks/25264
00595nas a2200193uu 4500," Murri, Romolo,  1870-1944", Il cristianesimo e la religione di domani  [electronic resource] /  Romolo Murri," Project Gutenberg,  2008", Public domain in the USA., Text,,,,,, Project Gutenberg  25265, http://www.gutenberg.org/ebooks/25265
00892nas a2200229uu 4500," Dimock, Arthur", Bell's Cathedrals :  The Cathedral Church of Saint Paul :  An Account of the Old and New Buildings with a Short Historical Sketch  [electronic resource] /  Arthur Dimock," Project Gutenberg,  2008", Public domain in the USA., Text," St. Paul's Cathedral (London, England)",,,,, Project Gutenberg  25266, http://www.gutenberg.org/ebooks/25266
00650nas a2200217uu 4500," Welby, Frances A.  (Frances Alice),  1842-1925", Astronomy for Amateurs  [electronic resource] /  Frances A. Welby," Project Gutenberg,  2008", Public domain in the USA., Text, Astronomy,,,,, Project Gutenberg  25267, http://www.gutenberg.org/ebooks/25267
00648nas a2200217uu 4500," Hurll, Estelle M.  (Estelle May),  1863-1924", Child-life in Art  [electronic resource] /  Estelle M. Hurll," Project Gutenberg,  2008", Public domain in the USA., Text, Children in art,,,,, Project Gutenberg  25268, http://www.gutenberg.org/ebooks/25268
00660nas a2200217uu 4500," Dibble, Samuel Edward,  1882-", Elements of Plumbing  [electronic resource] /  Samuel Edward Dibble," Project Gutenberg,  2008", Public domain in the USA., Text," Plumbing -- Handbooks, manuals, etc.",,,,, Project Gutenberg  25269, http://www.gutenberg.org/ebooks/25269
00649nas a2200217uu 4500," Kelleam, Joseph Everidge,  1913-1975", Hunters Out of Space  [electronic resource] /  Joseph Everidge Kelleam," Project Gutenberg,  2008", Public domain in the USA., Text, Science fiction,,,,, Project Gutenberg  25270, http://www.gutenberg.org/ebooks/25270
00632nas a2200229uu 4500," Lu, Xun,  1881-1936", ????  [electronic resource] /  Xun Lu," Project Gutenberg,  2008", Public domain in the USA., Text, Essays,,,,, Project Gutenberg  25271, http://www.gutenberg.org/ebooks/25271
00671nas a2200229uu 4500," Johnson, Owen,  1878-1952", The Varmint  [electronic resource] /  Owen Johnson," Project Gutenberg,  2008", Public domain in the USA., Text, Schools -- Fiction, Lawrenceville School -- Fiction,,,, Project Gutenberg  25272, http://www.gutenberg.org/ebooks/25272
00712nas a2200241uu 4500," Song, Yingxing,  1587-", ????  [electronic resource] /  Yingxing Song," Project Gutenberg,  2008", Public domain in the USA., Text, Science -- China -- History, Technology -- China -- History,,,, Project Gutenberg  25273, http://www.gutenberg.org/ebooks/25273
00700nas a2200229uu 4500," Abbott, Jacob,  1803-1879", Rollo at Work  [electronic resource] /  Jacob Abbott," Project Gutenberg,  2008", Public domain in the USA., Text, Farm life -- Juvenile fiction, Children -- Conduct of life -- Juvenile fiction,,,, Project Gutenberg  25274, http://www.gutenberg.org/ebooks/25274
00775nas a2200229uu 4500," Abbott, Jacob,  1803-1879", Margaret of Anjou :   Makers of History  [electronic resource] /  Jacob Abbott," Project Gutenberg,  2008", Public domain in the USA., Text," Margaret, of Anjou, Queen, consort of Henry VI, King of England, 1430-1482"," Great Britain -- History -- Henry VI, 1422-1461",,,, Project Gutenberg  25275, http://www.gutenberg.org/ebooks/25275
